Name,RT,Volume,Log P,Anchor,prefix,suffix,a,b,c,prefix_d,prefix_e,prefix_f,sugar_count,classification,outlier_reason,regression_group,priority_series,regression_r_squared,regression_equation,regression_p_value
GD1+OAc(40:2;O2),13.438,12461,3.32,F,GD1+OAc,(40:2;O2),40,2,O2,G,D,1,6,true,,GD1+OAc_ac_40_O2,,1.0000,RT = -0.7958 * LogP + 16.0800,1.0000e+00
GD1+OAc(42:2;O2),12.867,51338,4.4,F,GD1+OAc,(42:2;O2),42,2,O2,G,D,1,6,outlier,no_linear_relationship,,,,,
GD2(36:1;O2),9.644,381725,3.12,F,GD2,(36:1;O2),36,1,O2,G,D,2,5,outlier,no_linear_relationship,,,,,
GD2(36:1;O2),9.874,257580,3.12,F,GD2,(36:1;O2),36,1,O2,G,D,2,5,outlier,no_linear_relationship,,,,,
GD2(36:1;O2),8.7,255391,3.12,T,GD2,(36:1;O2),36,1,O2,G,D,2,5,outlier,OAc_rule_violation,,,,,
GD2(38:1;O2),11.166,364923,4.2,F,GD2,(38:1;O2),38,1,O2,G,D,2,5,outlier,no_linear_relationship,,,,,
GD2(38:1;O2),11.397,291907,4.2,T,GD2,(38:1;O2),38,1,O2,G,D,2,5,outlier,no_linear_relationship,,,,,
GD2(43:1;O2),13.402,19542,6.91,F,GD2,(43:1;O2),43,1,O2,G,D,2,5,outlier,no_linear_relationship,,,,,
GD2+OAc(36:1;O2),9.739,44986,3.7,F,GD2+OAc,(36:1;O2),36,1,O2,G,D,2,5,true,,GD2+OAc_bc_1_O2,,1.0000,RT = 1.4065 * LogP + 4.5350,1.0000e+00
GD2+OAc(38:1;O2),11.258,27183,4.78,F,GD2+OAc,(38:1;O2),38,1,O2,G,D,2,5,outlier,OAc_rule_violation,GD2+OAc_bc_1_O2,,1.0000,RT = 1.4065 * LogP + 4.5350,1.0000e+00
GD3(34:1;O2),8.537,164814,4.19,F,GD3,(34:1;O2),34,1,O2,G,D,3,4,outlier,sugar_count_rule,,,,,
GD3(36:0;O2),10.705,81822,5.78,F,GD3,(36:0;O2),36,0,O2,G,D,3,4,outlier,sugar_count_rule,,,,,
GD3(36:0;O2),9.347,53260,5.78,F,GD3,(36:0;O2),36,0,O2,G,D,3,4,outlier,sugar_count_rule,,,,,
GD3(36:1;O2),10.126,3939166,5.27,T,GD3,(36:1;O2),36,1,O2,G,D,3,4,outlier,no_linear_relationship,,,,,
GD3(36:1;O2),8.701,1042176,5.27,F,GD3,(36:1;O2),36,1,O2,G,D,3,4,outlier,OAc_rule_violation,,,,,
GD3(36:1;O2),9.629,520517,5.27,F,GD3,(36:1;O2),36,1,O2,G,D,3,4,outlier,no_linear_relationship,,,,,
GD3(36:1;O2),8.409,131116,5.27,F,GD3,(36:1;O2),36,1,O2,G,D,3,4,outlier,OAc_rule_violation,,,,,
GD3(36:1;O2),8.106,8739,5.27,F,GD3,(36:1;O2),36,1,O2,G,D,3,4,outlier,sugar_count_rule,,,,,
GD3(36:2;O2),9.037,42748,4.34,F,GD3,(36:2;O2),36,2,O2,G,D,3,4,outlier,sugar_count_rule,GD3_bc_2_O2,,1.0000,RT = 1.2898 * LogP + 3.4391,1.0000e+00
GD3(37:1;O2),10.92,54477,5.81,F,GD3,(37:1;O2),37,1,O2,G,D,3,4,outlier,sugar_count_rule,,,,,
GD3(37:1;O2),16.58,27502,5.81,F,GD3,(37:1;O2),37,1,O2,G,D,3,4,outlier,no_linear_relationship,,,,,
GD3(37:1;O2),9.528,18793,5.81,F,GD3,(37:1;O2),37,1,O2,G,D,3,4,outlier,sugar_count_rule,,,,,
GD3(38:1;O2),11.65,1155717,6.35,T,GD3,(38:1;O2),38,1,O2,G,D,3,4,outlier,no_linear_relationship,,,,,
GD3(38:1;O2),10.244,955413,6.35,F,GD3,(38:1;O2),38,1,O2,G,D,3,4,outlier,OAc_rule_violation,,,,,
GD3(38:1;O2),11.139,528476,6.35,F,GD3,(38:1;O2),38,1,O2,G,D,3,4,outlier,no_linear_relationship,,,,,
GD3(38:1;O2),9.941,131100,6.35,F,GD3,(38:1;O2),38,1,O2,G,D,3,4,outlier,OAc_rule_violation,,,,,
GD3(40:1;O2),13.067,202881,7.43,T,GD3,(40:1;O2),40,1,O2,G,D,3,4,outlier,no_linear_relationship,,,,,
GD3(40:1;O2),11.772,41509,7.43,F,GD3,(40:1;O2),40,1,O2,G,D,3,4,outlier,OAc_rule_violation,,,,,
GD3(42:1;O2),14.318,86391,8.52,F,GD3,(42:1;O2),42,1,O2,G,D,3,4,true,,GD3_ac_42_O2,,1.0000,RT = 1.1710 * LogP + 4.3414,1.0000e+00
GD3(42:2;O2),13.229,142346,7.59,F,GD3,(42:2;O2),42,2,O2,G,D,3,4,outlier,sugar_count_rule,GD3_ac_42_O2,,1.0000,RT = 1.1710 * LogP + 4.3414,1.0000e+00
GD3+OAc(34:1;O2),8.639,59056,4.77,F,GD3+OAc,(34:1;O2),34,1,O2,G,D,3,4,outlier,no_linear_relationship,,,,,
GD3+OAc(35:1;O2),8.512,645652,4.23,F,GD3+OAc,(35:1;O2),35,1,O2,G,D,3,4,outlier,no_linear_relationship,,,,,
GD3+OAc(37:1;O2),9.012,819375,5.31,F,GD3+OAc,(37:1;O2),37,1,O2,G,D,3,4,outlier,sugar_count_rule,,,,,
GD3+OAc(39:1;O2),11.617,812927,7.47,F,GD3+OAc,(39:1;O2),39,1,O2,G,D,3,4,outlier,no_linear_relationship,,,,,
GD3+OAc(39:1;O2),10.693,92119,7.47,F,GD3+OAc,(39:1;O2),39,1,O2,G,D,3,4,outlier,sugar_count_rule,,,,,
GD3+OAc(39:1;O2),11.174,52224,7.47,F,GD3+OAc,(39:1;O2),39,1,O2,G,D,3,4,outlier,no_linear_relationship,,,,,
GD3+OAc(40:1;O2),13.708,12474,8.01,F,GD3+OAc,(40:1;O2),40,1,O2,G,D,3,4,outlier,sugar_count_rule,,,,,
GM1(32:1;O2),6.854,45027,1.83,F,GM1,(32:1;O2),32,1,O2,G,M,1,5,outlier,no_linear_relationship,,,,,
GM1(33:1;O2),11.651,74603,2.37,F,GM1,(33:1;O2),33,1,O2,G,M,1,5,true,,,,,,
GM1(33:1;O2),9.923,37420,2.37,F,GM1,(33:1;O2),33,1,O2,G,M,1,5,outlier,isomer_rule,,,,,
GM1(34:2;O2),11.559,79340,1.98,F,GM1,(34:2;O2),34,2,O2,G,M,1,5,outlier,no_linear_relationship,,,,,
GM1(35:1;O2),9.335,119175,3.46,F,GM1,(35:1;O2),35,1,O2,G,M,1,5,outlier,isomer_rule,,,,,
GM1(35:1;O2),11.461,79544,3.46,F,GM1,(35:1;O2),35,1,O2,G,M,1,5,outlier,isomer_rule,,,,,
GM1(35:1;O2),13.056,19839,3.46,F,GM1,(35:1;O2),35,1,O2,G,M,1,5,true,,,,,,
GM1(36:0;O2),10.722,680035,4.51,F,GM1,(36:0;O2),36,0,O2,G,M,1,5,outlier,no_linear_relationship,,,,,
GM1(36:1;O2),10.099,22982958,4.0,T,GM1,(36:1;O2),36,1,O2,G,M,1,5,outlier,isomer_rule,,,,,
GM1(36:1;O2),9.141,806267,4.0,F,GM1,(36:1;O2),36,1,O2,G,M,1,5,outlier,isomer_rule,,,,,
GM1(36:1;O2),9.654,470407,4.0,F,GM1,(36:1;O2),36,1,O2,G,M,1,5,outlier,isomer_rule,,,,,
GM1(36:1;O2),8.718,174895,4.0,F,GM1,(36:1;O2),36,1,O2,G,M,1,5,outlier,isomer_rule,,,,,
GM1(36:1;O2),11.771,44091,4.0,F,GM1,(36:1;O2),36,1,O2,G,M,1,5,outlier,isomer_rule,,,,,
GM1(36:1;O2),12.176,11870,4.0,F,GM1,(36:1;O2),36,1,O2,G,M,1,5,true,,,,,,
GM1(37:1;O2),10.893,423413,4.54,F,GM1,(37:1;O2),37,1,O2,G,M,1,5,outlier,isomer_rule,,,,,
GM1(37:1;O2),12.873,17719,4.54,F,GM1,(37:1;O2),37,1,O2,G,M,1,5,true,,,,,,
GM1(38:1;O2),10.69,599708,5.08,F,GM1,(38:1;O2),38,1,O2,G,M,1,5,outlier,isomer_rule,,,,,
GM1(38:1;O2),11.175,476337,5.08,F,GM1,(38:1;O2),38,1,O2,G,M,1,5,outlier,isomer_rule,,,,,
GM1(38:1;O2),10.255,156614,5.08,F,GM1,(38:1;O2),38,1,O2,G,M,1,5,outlier,isomer_rule,,,,,
GM1(38:1;O2),13.518,24100,5.08,F,GM1,(38:1;O2),38,1,O2,G,M,1,5,outlier,isomer_rule,,,,,
GM1(38:1;O2),16.473,22210,5.08,F,GM1,(38:1;O2),38,1,O2,G,M,1,5,true,,,,,,
GM1(38:2;O2),10.498,131696,4.15,T,GM1,(38:2;O2),38,2,O2,G,M,1,5,outlier,isomer_rule,,,,,
GM1(38:2;O2),10.824,17753,4.15,F,GM1,(38:2;O2),38,2,O2,G,M,1,5,true,,,,,,
GM1(39:1;O2),12.347,95335,5.62,F,GM1,(39:1;O2),39,1,O2,G,M,1,5,outlier,isomer_rule,,,,,
GM1(39:1;O2),14.135,11818,5.62,F,GM1,(39:1;O2),39,1,O2,G,M,1,5,true,,,,,,
GM1(40:1;O2),13.035,404485,6.16,T,GM1,(40:1;O2),40,1,O2,G,M,1,5,true,,GM1_ac_40_O2,,1.0000,RT = 1.2129 * LogP + 5.5635,1.0000e+00
GM1(40:2;O2),11.907,44842,5.23,F,GM1,(40:2;O2),40,2,O2,G,M,1,5,true,,GM1_ac_40_O2,,1.0000,RT = 1.2129 * LogP + 5.5635,1.0000e+00
GM1(41:1;O2),13.702,37551,6.71,F,GM1,(41:1;O2),41,1,O2,G,M,1,5,true,,GM1_ac_41_O2,,1.0000,RT = 1.1883 * LogP + 5.7285,1.0000e+00
GM1(41:2;O2),12.585,16994,5.77,F,GM1,(41:2;O2),41,2,O2,G,M,1,5,true,,GM1_ac_41_O2,,1.0000,RT = 1.1883 * LogP + 5.7285,1.0000e+00
GM1(42:1;O2),14.321,112160,7.25,T,GM1,(42:1;O2),42,1,O2,G,M,1,5,true,,GM1_ac_42_O2,,1.0000,RT = 1.1774 * LogP + 5.7847,1.0000e+00
GM1(42:2;O2),13.226,406593,6.32,F,GM1,(42:2;O2),42,2,O2,G,M,1,5,outlier,sugar_count_rule,GM1_ac_42_O2,,1.0000,RT = 1.1774 * LogP + 5.7847,1.0000e+00
GM1(43:2;O2),13.841,28255,6.86,F,GM1,(43:2;O2),43,2,O2,G,M,1,5,outlier,no_linear_relationship,,,,,
GM1(44:1;O2),16.534,20333,8.33,F,GM1,(44:1;O2),44,1,O2,G,M,1,5,outlier,no_linear_relationship,,,,,
GM1+dHex(36:1;O2),10.032,6560744,2.91,F,GM1+dHex,(36:1;O2),36,1,O2,G,M,1,6,true,OAc_rule_violation,,,,,
GM1+dHex(36:1;O2),9.56,93263,2.91,F,GM1+dHex,(36:1;O2),36,1,O2,G,M,1,6,outlier,isomer_rule,,,,,
GM1+dHex(36:2;O2),8.944,229992,1.97,F,GM1+dHex,(36:2;O2),36,2,O2,G,M,1,6,outlier,sugar_count_rule,GM1+dHex_bc_2_O2,,1.0000,RT = 1.3090 * LogP + 6.3654,1.0000e+00
GM1+dHex(37:1;O2),10.83,594059,3.45,F,GM1+dHex,(37:1;O2),37,1,O2,G,M,1,6,outlier,OAc_rule_violation,,,,,
GM1+dHex(38:1;O2),11.555,4723680,3.99,F,GM1+dHex,(38:1;O2),38,1,O2,G,M,1,6,true,OAc_rule_violation,,,,,
GM1+dHex(38:1;O2),11.085,57135,3.99,F,GM1+dHex,(38:1;O2),38,1,O2,G,M,1,6,outlier,isomer_rule,,,,,
GM1+dHex(40:1;O2),12.965,123570,5.07,F,GM1+dHex,(40:1;O2),40,1,O2,G,M,1,6,outlier,OAc_rule_violation,,,,,
GM1+dHex(42:2;O2),13.185,637887,5.21,F,GM1+dHex,(42:2;O2),42,2,O2,G,M,1,6,outlier,OAc_rule_violation,GM1+dHex_bc_2_O2,,1.0000,RT = 1.3090 * LogP + 6.3654,1.0000e+00
GM1+HexNAc(36:1;O2),10.162,45616,1.85,F,GM1+HexNAc,(36:1;O2),36,1,O2,G,M,1,6,true,,,,,,
